,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
12,8409500006,ALASKA SEALIFE CENTER,ALASKA SEALIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664.0,9072246300,60.20885,-149.38716,4.0,122.0,2.0,6,,,,
1313,8400400389,SONORAN SEA AQUARIUM,SONORAN SEA AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1805 S CEYLON PL,TUCSON,AZ,85748,,,,,,32.19934,-110.77773,1.0,19.0,4.0,6,860792803,201012.0,0.0,0.0
1498,8409500010,AQUARIUM OF THE BAY,AQUARIUM OF THE BAY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133.0,4156235300,37.80032,-122.4104,2.0,75.0,6.0,6,,,,
1499,8400601268,AQUARIUM OF THE PACIFIC,AQUARIUM OF THE PACIFIC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 AQUARIUM WAY,LONG BEACH,CA,90802,,,,,5625903100,33.76322,-118.19669,1.0,37.0,6.0,6,330532354,201312.0,38286191.0,33641453.0
1675,8400600622,CABRILLO MARINE AQUARIUM,FRIENDS OF CABRILLO MARINE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3720 STEPHEN WHITE DRIVE,SAN PEDRO,CA,90731,,,,,2135487563,33.71058,-118.28595,1.0,37.0,6.0,6,330585381,201406.0,1109599.0,980785.0
1806,8400601973,CENTRAL COAST AQUARIUM SOCIETY,CENTRAL COAST AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1435 SHELL BEACH ROAD,SHELL BEACH,CA,93449,,,,,8057732439,35.15758,-120.67246,2.0,79.0,6.0,6,770372604,201212.0,0.0,0.0
2086,8409400157,ELKHORN SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,ELKHORN SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,ELKHORN,CA,95039,,,,,,,,,,6.0,6,,,,
2734,8400602889,MARINE AQUARIUM SOCIETY OF LOS ANGELES COUNTY,MARINE AQUARIUM SOCIETY OF LOS ANGELES COUNTY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,13620 B SHERMAN WAY,VAN NUYS,CA,91405,,,,,,34.2011,-118.42975,1.0,37.0,6.0,6,954831055,,,
2738,8400600279,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ORANGE COAST COLLEGE 2701 FAIRVIEW ROAD,COSTA MESA,CA,92628,,,,,,33.67324,-117.92329,1.0,,6.0,6,,,,
2739,8409500110,MARINE WILDLIFE VETERINARY CARE AND RESEARCH CENTER,REGENTS OF THE UNIVERSITY OF CALIFORNIA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","UNIVERSITY OF CALIFORNIA, SANTA CRUZ",110 SHAFFER ROAD,SANTA CRUZ,CA,95060,,,,,8314593800,36.97755,-122.05583,1.0,87.0,6.0,6,941539563,,,
2840,8400602286,MONTEREY BAY AQUARIUM,MONTEREY BAY AQUARIUM FOUNDATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,886 CANNERY ROW,MONTEREY,CA,93940,,,,,8316484800,36.61784,-121.90177,2.0,53.0,6.0,6,942487469,201312.0,137491679.0,86558017.0
3463,8400601007,SAN DIEGO MARINE AQUARIUM SOCIETY,SAN DIEGO MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,8488 SPRECKELS LANE,SAN DIEGO,CA,92127,,,,,,32.78258,-117.09198,1.0,73.0,6.0,6,262705836,201412.0,0.0,0.0
3482,8400602215,SAN FRANCISCO AQUARIUM SOCIETY,SAN FRANCISCO AQUARIUM SOCIETY INC CALIFORNIA ACADEMY OF SC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 282040,SAN FRANCISCO,CA,94128,38 FORT MASON,SAN FRANCISCO,CA,94128.0,4159351923,37.80358,-122.42854,1.0,75.0,6.0,6,941437731,201312.0,0.0,0.0
3612,8409500184,SEAWORLD SAN DIEGO,SEAWORLD SAN DIEGO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,500 SEAWORLD DRIVE,SAN DIEGO,CA,92109,500 SEAWORLD DRIVE,SAN DIEGO,CA,92109.0,6192226363,32.76104,-117.22195,1.0,73.0,6.0,6,,,,
3734,8409500194,STEINHART AQUARIUM,STEINHART AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118.0,4153795445,37.77025,-122.46932,1.0,75.0,6.0,6,,,,
3735,8409500195,STEPHEN BIRCH AQUARIUM-MUSEUM,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT SAN DIEGO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","UNIVERSITY OF CALIFORNIA, SAN DIEGO",2300 EXPEDITION WAY,LA JOLLA,CA,92093,,,,,8585343474,32.87306,-117.2401,1.0,73.0,6.0,6,956006144,201206.0,0.0,0.0
3807,8409400660,TIJUANA RIVER NATIONAL ESTUARINE RESEARCH RESERVE,TIJUANA RIVER NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 CASPAIN WAY,IMPERIAL BEACH,CA,91932,,,,,,32.57564,-117.12738,2.0,73.0,6.0,6,,,,
4166,8400800671,COLORADO AQUARIUM SOCIETY,COLORADO AQUARIUM SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1253,ARVADA,CO,80001,,,,,3036598084,39.80303,-105.08621,2.0,59.0,8.0,5,846038359,201412.0,0.0,0.0
4429,8409500099,LANDRY'S DOWNTOWN AQUARIUM - DENVER,LANDRY'S DOWNTOWN AQUARIUM - DENVER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,700 WATER STREET,DENVER,CO,80211,700 WATER STREET,DENVER,CO,80211.0,3035614450,39.75245,-105.01206,1.0,31.0,8.0,5,,,,
5008,8400900187,MARITIME AQUARIUM AT NORWALK,THE MARITIME AQUARIUM AT NORWALK INC,MARITIME AQUARIUM AT NORWALK,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,10 N WATER ST,SOUTH NORWALK,CT,6854,10 N WATER ST,NORWALK,CT,6854.0,2038520700,41.10084,-73.41659,1.0,1.0,9.0,1,61062912,201306.0,11074827.0,10386911.0
5044,8409500123,MYSTIC AQUARIUM,MYSTIC AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,55 COOGAN BLVD,MYSTIC,CT,6355,55 COOGAN BLVD,MYSTIC,CT,6355.0,8605725955,41.37369,-71.95821,2.0,11.0,9.0,1,,,,
5478,8409400143,DELAWARE NATIONAL ESTUARINE RESEARCH RESERVE,DELAWARE NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,DOVER,DE,19901,,,,,,,,,,10.0,2,,,,
5532,8401000061,MILFORD AQUARIUM,MILFORD AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1198,MILFORD,DE,19963,,,,,,38.91273,-75.47021,3.0,5.0,10.0,2,454884615,201406.0,0.0,0.0
5617,8409400050,APALACHICOLA NATIONAL ESTUARINE RESEARCH RESERVE,APALACHICOLA NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,EAST POINT,FL,32328,,,,,,,,,,12.0,3,,,,
5759,8401200766,CLEARWATER MARINE AQUARIUM,CLEARWATER MARINE AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,249 WINDWARD PASSAGE,CLEARWATER,FL,33767,,,,,7274411790,27.97964,-82.8107,1.0,103.0,12.0,3,592086737,201309.0,15756478.0,13856134.0
5892,8401200858,FLORIDA AQUARIUM,FLORIDA AQUARIUM INC,FLORIDA AQUARIUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,701 CHANNELSIDE DR,TAMPA,FL,33602,,,,,8132734000,27.94344,-82.44854,1.0,57.0,12.0,3,592807815,201309.0,19149841.0,15736020.0
5969,8401200423,GOLD COAST AQUARIUM SOCIETY OF SOUTH FLORIDA,GOLD COAST AQUARIUM SOCIETY OF SOUTH FLORIDA INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3186 N 34TH ST,HOLLYWOOD,FL,33021,,,,,,26.04092,-80.17338,2.0,11.0,12.0,3,260795845,,,
5994,8409400235,GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE,GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,505 GUANA RD,PONTE VEDRA BEACH,FL,32082,,,,,,30.19973,-81.38262,2.0,,12.0,3,,,,
6267,8409500120,MOTE MARINE LABORATORY & AQUARIUM,MOTE MARINE LABORATORY & AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1600 KEN THOMPSON PARKWAY,SARASOTA,FL,34236,1600 KEN THOMPSON PARKWAY,SARASOTA,FL,34236.0,9413884441,27.3337,-82.57772,1.0,115.0,12.0,3,,,,
6425,8401200870,PIER AQUARIUM,PIER AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,800 SECOND AVENUE NE,ST PETERSBURG,FL,33701,,,,,7278039799,27.77344,-82.63625,1.0,103.0,12.0,3,592899571,201309.0,702484.0,653619.0
6477,8409400579,ROOKERY BAY NATIONAL ESTUARINE RESEARCH RESERVE,ROOKERY BAY NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,300 TOWER ROAD,NAPLES,FL,34113,,,,,,26.05139,-81.70841,2.0,21.0,12.0,3,,,,
6494,8401200305,SAM AND CHRISTINE TROPHIA BUTTERFLY RESEARCH AND EDUCATION CENTER,SAM AND CHRISTINE TROPHIA BUTTERFLY RESEARCH AND EDUCATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 6623,KEY WEST,FL,33041,,,,,3052938299,24.55616,-81.80476,3.0,87.0,12.0,3,200000023,201312.0,18235.0,18235.0
6515,8409500182,SEAWORLD ORLANDO,SEAWORLD ORLANDO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,7007 SEAWORLD DRIVE,ORLANDO,FL,32821,7007 SEAWORLD DRIVE,ORLANDO,FL,32821.0,4073513600,28.40739,-81.47165,4.0,95.0,12.0,3,,,,
6590,8401200399,SUNCOAST SEABIRD SANCTUARY,SUNCOAST SEABIRD SANCTUARY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,18328 GULF BLVD,INDIAN SHORES,FL,33785,,,,,7273916211,27.83883,-82.83776,2.0,103.0,12.0,3,237271061,201312.0,547946.0,500070.0
6602,8401200302,TAMPA BAY AQUARIUM SOCIETY,TAMPA BAY AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 27044,TAMPA,FL,33623,11020 PARK DRIVE,RIVERVIEW,FL,33623.0,,27.86465,-82.32057,2.0,57.0,12.0,3,161665513,201308.0,0.0,0.0
