,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
1313,8400400389,SONORAN SEA AQUARIUM,SONORAN SEA AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1805 S CEYLON PL,TUCSON,AZ,85748,,,,,,32.19934,-110.77773,1.0,19.0,4.0,6,860792803,201012.0,0.0,0.0
1498,8409500010,AQUARIUM OF THE BAY,AQUARIUM OF THE BAY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133,THE EMBARCADERO AT BEACH STREET PIER 39,SAN FRANCISCO,CA,94133.0,4156235300,37.80032,-122.4104,2.0,75.0,6.0,6,,,,
1499,8400601268,AQUARIUM OF THE PACIFIC,AQUARIUM OF THE PACIFIC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 AQUARIUM WAY,LONG BEACH,CA,90802,,,,,5625903100,33.76322,-118.19669,1.0,37.0,6.0,6,330532354,201312.0,38286191.0,33641453.0
1675,8400600622,CABRILLO MARINE AQUARIUM,FRIENDS OF CABRILLO MARINE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3720 STEPHEN WHITE DRIVE,SAN PEDRO,CA,90731,,,,,2135487563,33.71058,-118.28595,1.0,37.0,6.0,6,330585381,201406.0,1109599.0,980785.0
2738,8400600279,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,MARINE SCIENCE DEPARTMENT PUBLIC AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ORANGE COAST COLLEGE 2701 FAIRVIEW ROAD,COSTA MESA,CA,92628,,,,,,33.67324,-117.92329,1.0,,6.0,6,,,,
2840,8400602286,MONTEREY BAY AQUARIUM,MONTEREY BAY AQUARIUM FOUNDATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,886 CANNERY ROW,MONTEREY,CA,93940,,,,,8316484800,36.61784,-121.90177,2.0,53.0,6.0,6,942487469,201312.0,137491679.0,86558017.0
3734,8409500194,STEINHART AQUARIUM,STEINHART AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118.0,4153795445,37.77025,-122.46932,1.0,75.0,6.0,6,,,,
3735,8409500195,STEPHEN BIRCH AQUARIUM-MUSEUM,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT SAN DIEGO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","UNIVERSITY OF CALIFORNIA, SAN DIEGO",2300 EXPEDITION WAY,LA JOLLA,CA,92093,,,,,8585343474,32.87306,-117.2401,1.0,73.0,6.0,6,956006144,201206.0,0.0,0.0
4429,8409500099,LANDRY'S DOWNTOWN AQUARIUM - DENVER,LANDRY'S DOWNTOWN AQUARIUM - DENVER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,700 WATER STREET,DENVER,CO,80211,700 WATER STREET,DENVER,CO,80211.0,3035614450,39.75245,-105.01206,1.0,31.0,8.0,5,,,,
5008,8400900187,MARITIME AQUARIUM AT NORWALK,THE MARITIME AQUARIUM AT NORWALK INC,MARITIME AQUARIUM AT NORWALK,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,10 N WATER ST,SOUTH NORWALK,CT,6854,10 N WATER ST,NORWALK,CT,6854.0,2038520700,41.10084,-73.41659,1.0,1.0,9.0,1,61062912,201306.0,11074827.0,10386911.0
