,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
12,8409500006,ALASKA SEALIFE CENTER,ALASKA SEALIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664.0,9072246300,60.20885,-149.38716,4.0,122.0,2.0,6,,,,
109,8400200167,OCEANSALASKA,OCEANSALASKA,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 6383,KETCHIKAN,AK,99901,2417 TONGASS AVENUE,KETCHIKAN,AK,99901.0,9072257900,55.35076,-131.67274,3.0,130.0,2.0,6,943194998,201212.0,892091.0,534898.0
125,8400200126,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ALASKA SEALIFE CENTERPO,SEWARD,AK,99664,301 RAILWAY AVE,SEWARD,AK,99664.0,9072246300,60.20885,-149.38716,4.0,122.0,2.0,6,920132479,201309.0,9601562.0,9469200.0
205,8400100279,ALABAMA WILDLIFE CENTER,ALABAMA WILDLIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 TERRACE DR,PELHAM,AL,35124,,,,,2056637930,33.32452,-86.79516,2.0,117.0,1.0,3,630813173,201312.0,463192.0,440703.0
220,8400100374,ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,ANIMAL HOUSE EXOTIC ANIMALS,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2056 COUNTY ROAD 161,MOULTON,AL,35650,,,,,2569748634,34.53421,-87.38741,4.0,79.0,1.0,3,631161613,,,
703,8400500305,COVENANT FARM,COVENANT FARM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,906 W LOUISIANA,BEEBE,AR,72012,,,,,,35.07389,-91.89314,3.0,145.0,5.0,3,861158055,201412.0,0.0,0.0
970,8400400088,ARIZONA FOLKLORE PRESERVE,ARIZONA FOLKLORE PRESERVE INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,44 E RAMSEY CANYON RD,HEREFORD,AZ,85615,,,,,5203786165,33.59475,-111.9792,1.0,13.0,4.0,6,860670641,201407.0,33375.0,33375.0
1018,8400400238,CABEZA PRIETA NATIONAL WILD LIFE REFUGE,CABEZA PRIETA NATURAL HISTORY ASSOCIATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 234,AJO,AZ,85321,,,,,5203876483,32.39747,-112.87213,3.0,19.0,4.0,6,731687944,201409.0,0.0,0.0
1035,8409500037,CENTER FOR NATIVE AND URBAN WILDLIFE,CENTER FOR NATIVE AND URBAN WILDLIFE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",SCOTTSDALE COMMUNITY COLLEGE,9000 EAST CHAPARRAL ROAD,SCOTTSDALE,AZ,85256,,,,,4804236000,33.50945,-111.8811,4.0,13.0,4.0,6,860185552,,,
1236,8400400107,PHOENIX HERPETOLOGICAL SOCIETY,PHOENIX HERPETOLOGICAL SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,20701 N SCOTTSDALE RD,SCOTTSDALE,AZ,85255,,,,,,33.67597,-111.88119,1.0,13.0,4.0,6,20678512,201312.0,361962.0,353795.0
